Hora    Voo        Companhia            Origem                  Atraso   Obs             
21:45   TP 679     TAP Portugal         Luxembourg              0:00     Previsto: 21:45 
21:45   TP 943     TAP Portugal         Geneva                  0:00     Previsto: 21:45 
21:50   TP 1938    TAP Portugal         Lisboa                  0:22     Previsto: 22:12 
22:05   TP 821     TAP Portugal         Milan, Malpensa         0:44     Previsto: 22:49 
22:10   FR 4503    Ryanair              Lille                   0:21     Previsto: 22:31 
22:10   TP 1710    TAP Portugal         Madeira                 0:00     Previsto: 22:10 
22:25   EZY3775    EasyJet Airlines     Paris, Ch. de Gaulle    0:09     Previsto: 22:34 
22:35   FR 9205    Ryanair              Hamburg                 0:00     Previsto: 22:35 
22:35   LH 1180    Lufthansa            Frankfurt               0:00     Previsto: 22:35 
22:40   FR 4599    Ryanair              Memmingen               0:00     Previsto: 22:40 
22:40   TP 347     TAP Portugal         London, Gatwick         0:00     Previsto: 22:40 
22:45   EZY1457    EasyJet Airlines     Geneva                  0:00     Previsto: 22:45 
22:55   FR 7475    Ryanair              Paris, Beauvais         0:00     Previsto: 22:55 
23:20   FR 8347    Ryanair              London, Stansted        0:00     Previsto: 23:20 
